id,owner_id,owner_type,kind_id,value1,value2
,10120,Skill,19,8,0
,10121,Skill,19,9,0
,10122,Skill,19,10,0
,10123,Skill,19,11,0
,10097,Skill,19,6,0
,10019,Skill,1,1,0
,10023,Skill,1,1,0
,10020,Skill,1,1,0
,10021,Skill,1,1,0
,8001,Skill,1,1,0
,10025,Skill,1,40,0
,10025,Skill,16,34,0
,10260,Skill,1,8,0
,10100,Skill,19,4,0
,66,ItemWeapon,1,17,0
,10099,Skill,19,3,0
,7001,Skill,1,1,0
,10026,Skill,1,1,0
,10003,Skill,1,1,0
,10027,Skill,1,1,0
,10514,Skill,1,1,0
,10513,Skill,1,1,0
,10518,Skill,1,1,0
,10002,Skill,1,1,0
,10582,Skill,1,1,0
,10090,Skill,1,12,0
,10090,Skill,8,15,0
,10088,Skill,1,10,0
,10088,Skill,8,15,0
,10585,Skill,20,44,0
,10588,Skill,1,1,0
,10693,Skill,12,0,0
,10001,Skill,1,1,0
,10603,Skill,19,169,0
,10764,Skill,19,182,0
,11043,Skill,27,8,0
,11057,Skill,20,2,0
,695,QuestComponent,31,254,0
,705,QuestComponent,31,255,0
,1363,QuestComponent,31,324,0
,522,QuestComponent,31,15,0
,11299,Skill,20,729,0
,11020,Skill,30,27,0
,10679,Skill,20,896,0
,10757,Skill,20,141,0
,11138,Skill,32,277,0
,11205,Skill,20,729,0
,11252,Skill,32,257,0
,11270,Skill,27,3599,0
,11271,Skill,31,256,0
,11272,Skill,20,669,0
,2005,QuestComponent,31,523,0
,2056,QuestComponent,31,526,0
,10487,Skill,29,0,0
,11448,Skill,32,784,0
,2048,QuestComponent,31,561,0
,11595,Skill,27,3598,0
,11598,Skill,32,367,0
,11592,Skill,30,132,0
,11612,Skill,20,334,5000
,2027,QuestComponent,31,948,0
,2031,QuestComponent,31,948,0
,2215,QuestComponent,31,948,0
,11553,Skill,35,140,1
,11557,Skill,35,139,1
,11376,Skill,35,166,1
,11593,Skill,27,4979,0
,11340,Skill,35,134,1
,11175,Skill,32,227,0
,11175,Skill,20,666,5000
,11667,Skill,29,1,0
,11925,Skill,26,1,50
,11925,Skill,27,4620,0
,11549,Skill,35,171,1
,11935,Skill,27,4753,0
,11935,Skill,27,4754,0
,11935,Skill,27,4755,0
,11936,Skill,27,4753,0
,11936,Skill,27,4754,0
,11936,Skill,27,4755,0
,11937,Skill,27,4753,0
,11937,Skill,27,4754,0
,11937,Skill,27,4755,0
,11940,Skill,26,1,50
,11940,Skill,27,4620,0
,5524,QuestComponent,31,1104,0
,11958,Skill,20,1418,1000000
,12050,Skill,27,5806,0
,7054,QuestComponent,31,1484,0
,11974,Skill,26,1,50
,514,Sphere,32,1076,0
,513,Sphere,32,1076,0
,501,Sphere,32,1076,0
,517,Sphere,32,1099,0
,518,Sphere,32,1099,0
,530,Sphere,32,15,0
,533,Sphere,36,18,0
,12157,Skill,27,4753,0
,538,Sphere,36,18,0
,560,Sphere,32,1066,0
,562,Sphere,1,7,0
,12174,Skill,27,6042,0
,12185,Skill,27,6043,0
,582,Sphere,32,1102,0
,12242,Skill,12,0,0
,11639,Skill,34,55,0
,11639,Skill,26,1,50
,584,Sphere,36,956,0
,585,Sphere,36,956,0
